the_geom,BIN,NAME,Height Roof
"MULTIPOLYGON (((-74.005771399414 40.718871815819, -74.005821572969 40.718808852331, -74.005953840073 40.718642864452, -74.00600433233 40.718666156223, -74.006034098633 40.718679887444, -74.005851659332 40.718908839838, -74.005771399414 40.718871815819)))",1001983,,80
"MULTIPOLYGON (((-73.971654295035 40.727227152962, -73.971692792994 40.72695015053, -73.971749407224 40.7269547039, -73.971715695614 40.727197260353, -73.971690708277 40.727377053453, -73.971634093692 40.727372499154, -73.971654295035 40.727227152962)))",1088979,,17
"MULTIPOLYGON (((-73.994724505527 40.720817056548, -73.994705994163 40.720803022154, -73.994673803565 40.720795715735, -73.994677143141 40.720787199768, -73.994631515548 40.720776843588, -73.994627267969 40.720787677424, -73.994594080826 40.720780144908, -73.994573684311 40.720791961339, -73.994494985591 40.720774097794, -73.994521688148 40.720706001614, -73.994610071893 40.720726062839, -73.994616384368 40.720735567115, -73.994646582993 40.720742421402, -73.994652892067 40.720750143566, -73.994688390703 40.72075820117, -73.994693561654 40.720745013442, -73.994728153681 40.720752865675, -73.994740945019 40.720748691496, -73.994820991855 40.720766860206, -73.994794672017 40.720833182468, -73.994724505527 40.720817056548)))",1007132,,67.31
"MULTIPOLYGON (((-73.994561163465 40.724052979785, -73.994583474548 40.724002180399, -73.994584894888 40.724002573088, -73.994763173718 40.724051892325, -73.994739125202 40.724102210794, -73.994561163465 40.724052979785)))",1007926,,57.86
"MULTIPOLYGON (((-74.009587080593 40.712187399108, -74.009656647662 40.712220906703, -74.009746471895 40.712264171378, -74.009816005987 40.712297663571, -74.009823233739 40.712301145229, -74.009612377381 40.712554618105, -74.009589873431 40.712581671327, -74.009550546176 40.712562728751, -74.009323300906 40.712453273186, -74.00955665952 40.712172746724, -74.009587080593 40.712187399108)))",1001238,,58.47
"MULTIPOLYGON (((-73.994881562649 40.713093170961, -73.994885960369 40.713123750699, -73.994905396292 40.713122132442, -73.994922323682 40.713239836244, -73.994927419299 40.713275266162, -73.994902880251 40.713277310139, -73.9946333175 40.713299756631, -73.994607432183 40.713119767644, -73.994606896382 40.713116042206, -73.994613272852 40.713115511203, -73.994677367739 40.713110174154, -73.994881562649 40.713093170961)))",1078948,,61.57
"MULTIPOLYGON (((-74.00732275685 40.714553660021, -74.007392049143 40.71446659423, -74.007464169355 40.714375974798, -74.007464325582 40.714376046829, -74.007471372339 40.714379293612, -74.007471719115 40.714379453881, -74.007541843506 40.714411765029, -74.007400431132 40.714589450347, -74.00732275685 40.714553660021)))",1001470,,53.31
"MULTIPOLYGON (((-73.997658871341 40.714707620697, -73.997705304753 40.714649045221, -73.997750206599 40.714592402192, -73.99778954107 40.71454278122, -73.997803664066 40.714524965789, -73.997834072331 40.714486605515, -73.997915835244 40.714517081201, -73.99782685694 40.714624271831, -73.997743051544 40.714725230059, -73.997658871341 40.714707620697)))",1001715,,41.47
"MULTIPOLYGON (((-73.983964969903 40.702683984129, -73.98396610908 40.702665577823, -73.983949841702 40.702664994726, -73.983952604719 40.702620354031, -73.983954943662 40.702582550865, -73.983965047762 40.702419275941, -73.984043610819 40.702422091952, -73.984144906481 40.702425723305, -73.984132908232 40.702619603683, -73.984129160622 40.702680158094, -73.984115975617 40.702679685308, -73.98411537576 40.702689374734, -73.984085926918 40.702688318869, -73.983964969903 40.702683984129)))",3329427,,84.08
"MULTIPOLYGON (((-73.99507701032 40.699132140072, -73.995071219848 40.699130547718, -73.995118819104 40.69903027139, -73.995186145388 40.699048783355, -73.995307237665 40.699082078495, -73.995259638655 40.699182354901, -73.995192729879 40.699163958262, -73.99507701032 40.699132140072)))",3001657,,51.96906481
"MULTIPOLYGON (((-73.998088746263 40.714247265115, -73.998053208414 40.714268301348, -73.998044909776 40.714273213492, -73.997996404506 40.714337144408, -73.997888045615 40.714269813099, -73.997891323878 40.714268229161, -73.997911530756 40.714258467994, -73.99802093822 40.714205615355, -73.998088746263 40.714247265115)))",1001703,,54.97829395
"MULTIPOLYGON (((-73.982781358482 40.727957889462, -73.982833627446 40.727885406294, -73.982846443337 40.727867634859, -73.982854894503 40.727855915093, -73.982859123046 40.727850049807, -73.982936834875 40.727882482371, -73.982928889345 40.727893500722, -73.982841668325 40.728014454026, -73.982763956388 40.727982022299, -73.982781358482 40.727957889462)))",1005911,,64.91
"MULTIPOLYGON (((-73.982516281731 40.724170101709, -73.982485576193 40.724212822612, -73.982483354859 40.724215912823, -73.982463112936 40.724217339751, -73.982441736722 40.724247080319, -73.982434450987 40.724244049894, -73.982412541914 40.724274531495, -73.982419826468 40.724277562821, -73.982400699974 40.724304172654, -73.982407481266 40.724321470675, -73.982375823584 40.724365515151, -73.982292636411 40.72433090572, -73.982297668779 40.724323905033, -73.982324294132 40.724286862166, -73.982325163011 40.724286557927, -73.982343178626 40.724280241817, -73.982362305136 40.724253631093, -73.982372614757 40.724257920897, -73.982394525026 40.724227438404, -73.982384215409 40.724223149502, -73.982405591641 40.724193408944, -73.982400166634 40.724181304368, -73.982413945785 40.724162133728, -73.98243309473 40.724135493278, -73.982516281731 40.724170101709)))",1005063,,70.43
"MULTIPOLYGON (((-73.994280254155 40.718186671867, -73.994342684162 40.718067486131, -73.994405586251 40.717947397171, -73.994410318784 40.717938360782, -73.994413551537 40.717932188842, -73.994429967423 40.717900849182, -73.994440905026 40.717879969582, -73.994464070466 40.717835744843, -73.994545916891 40.717860563205, -73.994522752679 40.717904787961, -73.994512955021 40.717923494692, -73.99445467086 40.718034767939, -73.994421379743 40.718098324337, -73.994362102125 40.718211491259, -73.994280254155 40.718186671867)))",1003933,,67.15
"MULTIPOLYGON (((-73.988457137079 40.723567044434, -73.98848871106 40.723522991969, -73.988607609386 40.723572316591, -73.988576036644 40.723616369088, -73.988457137079 40.723567044434)))",1006097,,53.48
"MULTIPOLYGON (((-74.005884051015 40.719420445834, -74.005948130531 40.719450277335, -74.005852142275 40.719569636747, -74.005788062687 40.719539804292, -74.005884051015 40.719420445834)))",1002179,,31.51
"MULTIPOLYGON (((-73.995482830787 40.71845621646, -73.995490514157 40.718441709544, -73.995566797958 40.718465098751, -73.99556132811 40.718475426491, -73.995612346156 40.718491068505, -73.995610556413 40.718494448051, -73.995641117309 40.718503818118, -73.995574798495 40.718629035117, -73.995493218238 40.718604022088, -73.995416935488 40.718580632832, -73.995482830787 40.71845621646)))",1090573,,33.67
"MULTIPOLYGON (((-74.00822368955 40.712934102317, -74.008140412692 40.713039961475, -74.008097677867 40.713094285999, -74.008045753532 40.713070635025, -74.007971336554 40.713165230751, -74.007888892031 40.713270032466, -74.007506146188 40.713095696678, -74.007441288673 40.713066154233, -74.007614693197 40.712845729376, -74.007724163486 40.712706574256, -74.007742008378 40.712714701968, -74.007785546003 40.712734532781, -74.007883250413 40.712779036576, -74.00822368955 40.712934102317)))",1001408,,362.28
"MULTIPOLYGON (((-73.986707400749 40.703813800495, -73.98670746605 40.703812696475, -73.9874638097 40.703838438701, -73.987463149682 40.703849668012, -73.987460709035 40.703891207456, -73.987435833502 40.704314559653, -73.987430453555 40.7044061195, -73.987026668558 40.704392377923, -73.986674103477 40.704380377958, -73.986676976819 40.704331488606, -73.986704493015 40.703863297693, -73.986707226214 40.703816770363, -73.986707400749 40.703813800495)))",3000010,,163.41
"MULTIPOLYGON (((-74.016363971294 40.710561763955, -74.016811093569 40.710655955107, -74.016786947977 40.710719526605, -74.016800464421 40.710722499021, -74.016781938626 40.7107712734, -74.016667468362 40.711072651443, -74.016661642097 40.711071369959, -74.016648233372 40.71110667193, -74.016624625562 40.71116882861, -74.016602512566 40.711227046234, -74.01656418194 40.711327961213, -74.01656004505 40.711338854389, -74.0163396144 40.711290374467, -74.016348526879 40.711266911289, -74.01636572501 40.711221629353, -74.016385456355 40.711169683272, -74.016406006061 40.711115578546, -74.016415163301 40.711091471462, -74.016394118696 40.711086843133, -74.016292907701 40.711064583366, -74.016217916694 40.711048090292, -74.016182232515 40.711040241958, -74.016183256696 40.711037545684, -74.016194208093 40.711008711583, -74.016363971294 40.710561763955)))",1083373,,83.34453318
"MULTIPOLYGON (((-74.011493011186 40.706083064341, -74.011778582464 40.706207183593, -74.011886977723 40.706254296217, -74.011936167766 40.706275676474, -74.011930026131 40.70628799881, -74.01182784304 40.706493037822, -74.011826750031 40.706495232481, -74.01165826383 40.706422002065, -74.011382281081 40.706302049138, -74.011366488387 40.706295185199, -74.011369135919 40.706290747217, -74.011453007393 40.706150133027, -74.011489908222 40.706088266006, -74.011493011186 40.706083064341)))",1000819,,561.44
"MULTIPOLYGON (((-74.00336385685 40.724214006049, -74.003315258673 40.724190224107, -74.003392821906 40.724098482451, -74.003441421227 40.724122264361, -74.003425035838 40.724141644713, -74.00344483518 40.724151333603, -74.003448033195 40.724147551368, -74.003489899819 40.724168039395, -74.003638866851 40.724240937319, -74.003587831226 40.724301300966, -74.003447900307 40.724232824208, -74.003396997469 40.724207914931, -74.003399836867 40.724204555947, -74.003380037515 40.724194867049, -74.00336385685 40.724214006049)))",1007367,,63.29
"MULTIPOLYGON (((-74.014477920519 40.704156409688, -74.014482418282 40.704145859627, -74.014457669616 40.704139749164, -74.014490704439 40.704062256869, -74.014500049375 40.704064563704, -74.014511824189 40.704036943523, -74.014580361605 40.704053864482, -74.014568588001 40.70408148467, -74.014575921242 40.704083295571, -74.01454288769 40.704160788791, -74.014518088129 40.70415466574, -74.014513590372 40.704165215803, -74.014477920519 40.704156409688)))",1088314,,20
"MULTIPOLYGON (((-73.991145825778 40.717031806062, -73.991124171779 40.717025378353, -73.991065943763 40.71700809576, -73.990925094126 40.716966288464, -73.991031386567 40.716758971408, -73.991325941311 40.716846401102, -73.991219649648 40.717053718427, -73.991145825778 40.717031806062)))",1003988,,61.64
"MULTIPOLYGON (((-73.989111918921 40.7209327159, -73.989108818181 40.720923865396, -73.989075491126 40.720914016966, -73.989078852412 40.720907431857, -73.989043121619 40.720896873588, -73.98903976033 40.720903458696, -73.989004959801 40.720893175159, -73.988995079564 40.720898190054, -73.988923641696 40.720877080659, -73.988956460214 40.720812791013, -73.989029398738 40.720834344483, -73.989032000938 40.720844620448, -73.989064619018 40.720854259005, -73.989059697264 40.720863898495, -73.989095396086 40.720874447751, -73.989100316653 40.720864808259, -73.989133100446 40.72087449544, -73.989145576408 40.720868674821, -73.989248203939 40.72089901722, -73.989215392765 40.720963292541, -73.989111918921 40.7209327159)))",1005530,,62.14
"MULTIPOLYGON (((-74.017730332284 40.709208524706, -74.017814643298 40.709048715071, -74.017833185975 40.709054380017, -74.017967470178 40.709095405335, -74.018008969954 40.70910808345, -74.018016238092 40.709094307192, -74.018026058989 40.709090074152, -74.017992315731 40.709044736891, -74.017975292457 40.709052074215, -74.017968419014 40.70905503707, -74.017954035768 40.709035712542, -74.017959569782 40.709033327125, -74.017952431433 40.709023735993, -74.017940064209 40.709029066246, -74.017856116187 40.709009838077, -74.017849479787 40.709000921344, -74.017811852644 40.708950367069, -74.017839209448 40.708886674175, -74.017915633589 40.708853735111, -74.018001706922 40.70887351852, -74.018011340722 40.708886461862, -74.018045489957 40.708932342063, -74.018018243728 40.708997302909, -74.018006270533 40.709002463811, -74.018013043091 40.709011563318, -74.018019225516 40.709008898638, -74.018032886652 40.709027251619, -74.018010040664 40.709037097784, -74.018044643374 40.70908358846, -74.018050033033 40.709081266097, -74.018070401289 40.709085445775, -74.018123984775 40.708868279967, -74.018334379995 40.708956883965, -74.018262839297 40.709238695017, -74.018079064369 40.709315063066, -74.017977036564 40.709283893444, -74.017730332284 40.709208524706)))",1000544,,235
"MULTIPOLYGON (((-74.010719964832 40.725017619877, -74.010670723657 40.725012197083, -74.010628349028 40.725007530062, -74.010628354942 40.725007501245, -74.010647633608 40.72490617956, -74.01075297401 40.724917530593, -74.010782366716 40.724800963217, -74.010959526524 40.724819159287, -74.010915701028 40.725039652254, -74.010719964832 40.725017619877)))",1089819,,110
"MULTIPOLYGON (((-73.994360687184 40.700627803184, -73.994389278775 40.700570762536, -73.994525948905 40.700610442079, -73.994535394388 40.700613183687, -73.994542081834 40.700615125508, -73.994513490354 40.700672166194, -73.994360687184 40.700627803184)))",3001554,,52.90407928
"MULTIPOLYGON (((-73.982320589428 40.701621547974, -73.98232121652 40.701608267318, -73.982269550476 40.701606855473, -73.982256203563 40.70160649051, -73.982263017241 40.701462088141, -73.982263843068 40.701444585014, -73.982263965632 40.701441990658, -73.982523951615 40.701449647852, -73.982516159254 40.701614792484, -73.982418344586 40.701612119275, -73.982417774624 40.70162420406, -73.982320589428 40.701621547974)))",3396812,,70.20815182
"MULTIPOLYGON (((-73.979823086676 40.727153165468, -73.979945034707 40.726984705126, -73.980026677003 40.727018909844, -73.979941366835 40.727136759044, -73.979904729116 40.727187370271, -73.979823086676 40.727153165468)))",1005141,,48.64
"MULTIPOLYGON (((-73.983351904967 40.715678673622, -73.983367689713 40.715648336806, -73.98315136806 40.715583172336, -73.983195774137 40.715497828445, -73.983226299327 40.715439162838, -73.983469488588 40.715512421216, -73.98342865516 40.715590899334, -73.983479438639 40.715606197299, -73.9834465881 40.715669335473, -73.983429557753 40.715702065677, -73.983351904967 40.715678673622)))",1079026,,51.09
"MULTIPOLYGON (((-73.981758753698 40.724893820837, -73.981790038912 40.724850781443, -73.98182355967 40.724804666253, -73.981858593662 40.724756468413, -73.981900871915 40.724698304864, -73.981959372164 40.724722916859, -73.981954517366 40.724729595176, -73.981853870082 40.724868061487, -73.98179798632 40.724944940855, -73.981739485936 40.724920328778, -73.981758753698 40.724893820837)))",1005101,,55.6
"MULTIPOLYGON (((-73.996800599215 40.716327700288, -73.996875990772 40.716205579646, -73.99691430137 40.716219272938, -73.996938844493 40.716228044563, -73.996863451842 40.716350165246, -73.996800599215 40.716327700288)))",1002427,,36.34
"MULTIPOLYGON (((-73.992012947213 40.718597919678, -73.992029185696 40.718566414657, -73.992039444313 40.7185694753, -73.992051741841 40.718545615334, -73.992059035777 40.71854779237, -73.992106947268 40.718454836008, -73.99209915982 40.718452512158, -73.992109738404 40.718431986656, -73.992099974509 40.718429073737, -73.992114315254 40.718401249859, -73.992223230624 40.718433747669, -73.992209448677 40.718460487384, -73.992197237289 40.718456843094, -73.992167625352 40.718514294528, -73.992159469825 40.718511860795, -73.992144418784 40.718541063311, -73.992152574315 40.718543496144, -73.992125179594 40.71859664418, -73.992137392187 40.718600288478, -73.992121862854 40.718630417583, -73.992012947213 40.718597919678)))",1005568,,79.7
